H  1  1.000
C  6  2.000
N  7  1.750
O  8  1.600
F  9  1.545
Na 11 1.200
NA 11 1.200
Mg 12 0.650
MG 12 0.650
P  15 2.100
S  16 2.000
Cl 17 2.045
CL 17 2.045
K  19 1.200
Ca 20 0.990
CA 20 0.990
Mn 25 0.650
MN 25 0.650
Fe 26 0.650
FE 26 0.650
Zn 30 0.740
ZN 30 0.740
Br 35 2.165
BR 35 2.165
I  53 2.360
